name,name:he,highway,lanes
יצחק רבין,יצחק רבין,secondary,3
בן צבי,בן צבי,secondary,2
יצחק קריב,יצחק קריב,tertiary,
חטיבת ירושלים,חטיבת ירושלים,trunk,
ישעיהו,ישעיהו,tertiary,2
דוד ילין,דוד ילין,tertiary,
גולדה מאיר,גולדה מאיר,primary,3
הרב הרצוג,הרב הרצוג,tertiary,2
ארלוזורוב,ארלוזורוב,tertiary,
אוסישקין,אוסישקין,tertiary,
דובנוב,דובנוב,tertiary,2
אבן עזרא,אבן עזרא,tertiary,
סיירת דוכיפת,סיירת דוכיפת,secondary,2
יגאל ידין,יגאל ידין,trunk,2
"כ""ט בנובמבר","כ""ט בנובמבר",tertiary,1
הנשיא,הנשיא,tertiary,
"שדרות ש""י עגנון","שדרות ש""י עגנון",tertiary,1
יוסי בן יועזר,יוסי בן יועזר,tertiary,
אליעזר הגדול,אליעזר הגדול,tertiary,
קצנלבוגן,קצנלבוגן הרב רפאל,tertiary,
רבקה,רבקה,tertiary,2
התנופה,התנופה,tertiary,2
נעמי,נעמי,tertiary,2
שאולזון,שאולזון הרב,tertiary,
הרב דוד רוזנטל,הרב דוד רוזנטל,tertiary,1
חי טייב,"חי טייב, הרב יצחק",tertiary,
ז'בוטינסקי,ז'בוטינסקי,tertiary,
המפקד,המפקד,tertiary,
פינס,פינס,tertiary,
פתח תקוה,פתח תקוה,tertiary,
אוהל יהושע,אוהל יהושע,tertiary,
עלי הכהן,עלי הכהן,tertiary,
עזרת תורה,עזרת תורה,tertiary,
הרב גרוסברג,גרוסברג,tertiary,
בני בתירא,בני בתירא,tertiary,1
מעלה השלום,מעלה השלום,tertiary,
מעלות עיר דוד,מעלות עיר דוד,tertiary,
נעמי קיס,נעמי קיס,tertiary,
Lerr Bridge,,secondary,2
יעקב מאיר,יעקב מאיר,tertiary,
פייר קניג,פייר קניג,tertiary,2
"בית""ר",ביתר,tertiary,
קלוזנר,קלוזנר,tertiary,
לייב יפה,לייב יפה,tertiary,
קורא הדורות,קורא הדורות,tertiary,
מנחם בגין,מנחם בגין,motorway,3
מנחם בגין,מנחם בגין,motorway,3
מנחם בגין,מנחם בגין,motorway,3
מנחם בגין,מנחם בגין,motorway,3
מנחם בגין,מנחם בגין,motorway,2
שדרות ויצמן,שדרות ויצמן,primary,4
בית חנינא,בית חנינא,tertiary,
הרב דוד רוזנטל,הרב דוד רוזנטל,tertiary,1
קרל נטר,קרל נטר,tertiary,
מעבר המיתלה,המיתלה,tertiary,
פארן,פארן,tertiary,
קרית משה,קרית משה,tertiary,2
מבצע קדש,מבצע קדש,tertiary,
כיכר אורד וינגייט,כיכר אורד וינגייט,tertiary,
תחכמוני,תחכמוני,tertiary,
מלאכי,מלאכי,tertiary,
ארץ חפץ,ארץ חפץ,tertiary,
"מח""ל","מח""ל",tertiary,
עין כרם,עין כרם,primary,2
חברון,חברון,trunk,2
מאיר פינשטיין,מאיר פינשטיין,tertiary,
שכם,שכם,tertiary,
מנחם בגין,מנחם בגין,motorway,3
אלמדינה אלמנוורה,אלמדינה אלמנוורה,tertiary,
בוקסבוים מרדכי,בוקסבוים,tertiary,
אגרות משה,אגרות משה,tertiary,
"האדמו""ר מלובביץ","האדמו""ר מלובביץ",tertiary,
שכם,שכם,tertiary,
יריחו,יריחו,secondary,2
אל מקדש,אל מקדש,secondary,2
ח'אלד בן אל-וליד,ח'אלד בן אל-וליד,tertiary,
העופל,דרך העופל,tertiary,2
מוסא סייק,מוסא סייק,tertiary,
יצחק הנדיב,יצחק הנדיב,secondary,2
"האר""י","האר""י",tertiary,
מנחם בגין,מנחם בגין,motorway,3
מנחם בגין,מנחם בגין,motorway,3
מנחם בגין,מנחם בגין,motorway,3
גולדה מאיר,גולדה מאיר,primary,5
גולדה מאיר,גולדה מאיר,primary,5
אורוגואי,אורוגואי,tertiary,
צ'ילה,צ'ילה,tertiary,2
החלמית,החלמית,tertiary,
פנמה,פנמה,tertiary,
הרפובליקה הדומיניקנית,הרפובליקה הדומיניקנית,tertiary,2
האביבית,האביבית,tertiary,1
הנורית,הנורית,tertiary,1
אריה דולצ'ין,אריה דולצ'ין,tertiary,
מיכאל אבי יונה,מיכאל אבי יונה,tertiary,
ורבורג,ורבורג,tertiary,
עמוס,עמוס,tertiary,
יואל,יואל,tertiary,
יואל,יואל,tertiary,
זית רענן,זית רענן,tertiary,2
ברנדייס,ברנדייס,tertiary,1
זאב לב,זאב לב,tertiary,1
א.ש. הרטום,א.ש. הרטום,tertiary,
משאריף,משאריף,tertiary,
אל-כות'ר,אל-כות'ר,tertiary,
יגאל אלון,יגאל אלון,tertiary,2
Alshaikh Sa'd,שייח סעד אל,tertiary,
Ras Albostan,,tertiary,
شارع رئيسي,,tertiary,
מנחם בגין,מנחם בגין,motorway,2
מנחם בגין,מנחם בגין,motorway,3
סולם יעקב,סולם יעקב,tertiary,
יהודה בורלא,יהודה בורלא,tertiary,2
רופין,רופין,tertiary,2
יואל זוסמן,יואל זוסמן,tertiary,
אביזוהר,אביזוהר,tertiary,
רוזנטל הרב דוד,רוזנטל הרב דוד,tertiary,2
"אגודת ספורט בית""ר","אגודת ספורט בית""ר",secondary,3
יוסי בן יועזר,יוסי בן יועזר,tertiary,
המרגלית,המרגלית,tertiary,2
בית חנינא,בית חנינא,tertiary,
טאהה חוסיין,טאהה חוסיין,tertiary,
חליל ג'ורבאן,חליל ג'ורבאן,tertiary,
الإمام البخاري,אימאם אלבוח'ארי,tertiary,
דרך ביר נבאלה,דרך ביר נבאלה,tertiary,
חיים ברלב,חיים ברלב,trunk,3
לוחמי הגטאות,לוחמי הגטאות,tertiary,
קסילה,קסילה,tertiary,
א-נהדה,א-נהדה,tertiary,2
א-תווחיד,א-תווחיד,tertiary,2
מדרסה אל ג'דידה,אל מדרסה אל ג'דידה,tertiary,
מעמל אל-ת'לג',מעמל אל-ת'לג',tertiary,2
משה ברעם,משה ברעם,secondary,2
טאבאליה,טאבאליה,tertiary,2
אל חרדוב,אל חרדוב,tertiary,
ראבעה אל-עדוויה,ראבעה אל-עדוויה,tertiary,2
الشياح,א שיח',tertiary,
بيت فاجي,בית פגי,tertiary,
אל-מכפה,אל-מכפה,tertiary,2
בדאיה,בדאיה,tertiary,
דניאל ינובסקי,דניאל ינובסקי,tertiary,
וואדי הילווה,וואדי הילווה,tertiary,
האלוף עוזי נרקיס,האלוף עוזי נרקיס,trunk,
שדרות שמואל מאיר,שדרות שמואל מאיר,tertiary,2
הרב יצחק ניסים,הרב יצחק ניסים,tertiary,
יצחק רבין,יצחק רבין,secondary,4
אל-מראבטין,אל-מראבטין,tertiary,2
יצחק רבין,יצחק רבין,secondary,2
שמעון בן חמו,שמעון בן חמו,tertiary,
אברהם מאפו,אברהם מאפו,tertiary,2
דהומיי,דהומיי,tertiary,
פינס,פינס,tertiary,2
"רש""י","רש""י",tertiary,
מאה שערים,מאה שערים,tertiary,
"רמב""ן","רמב""ן",tertiary,
"האר""י","האר""י",tertiary,2
כובשי קטמון,כובשי קטמון,tertiary,
"הל""ה","הל""ה",tertiary,
יעקב פיכמן,יעקב פיכמן,tertiary,2
אריה דולצ'ין,אריה דולצ'ין,tertiary,2
בוסתנאי,בוסתנאי,tertiary,
כובשי קטמון,כובשי קטמון,tertiary,
הקרן הקיימת לישראל,הקרן הקיימת לישראל,tertiary,2
אוסישקין,אוסישקין,tertiary,
רחל אמנו,רחל אמנו,tertiary,2
דוד ילין,דוד ילין,tertiary,
תחכמוני,תחכמוני,tertiary,
מיכאל אבי יונה,מיכאל אבי יונה,tertiary,
אליהו מרידור,מרידור,tertiary,
יוספטל,יוספטל,tertiary,
משה רחמילביץ',משה רחמילביץ',tertiary,
משה רחמילביץ',משה רחמילביץ',tertiary,
שועפט,שועפט,tertiary,2
שכם,שכם,tertiary,
רב החובל,רב החובל,tertiary,
קלמן יעקב מן,קלמן יעקב מן,primary,2
דוד בן-גוריון,דוד בן-גוריון,primary,3
דוד בן-גוריון,דוד בן-גוריון,primary,2
ים המלח,ים המלח,tertiary,
הנביאים,הנביאים,tertiary,2
חיל ההנדסה,חיל ההנדסה,trunk,2
בנימין מזר,בנימין מזר,tertiary,
ים סוף,ים סוף,tertiary,
בלפור,בלפור,tertiary,
"האצ""ל","האצ""ל",tertiary,1
פנים מאירות,פנים מאירות,tertiary,
הרב סורוצקין,הרב סורוצקין,tertiary,2
דרך מנהרת הר הצופים,דרך מנהרת הר הצופים,secondary,
מנהרת נעמי שמר / מנהרת הר הצופים,מנהרת נעמי שמר / מנהרת הר הצופים,secondary,
דרך מנהרת הר הצופים,דרך מנהרת הר הצופים,secondary,
לייב יפה,לייב יפה,secondary,
הנרד,הנרד,tertiary,
גרשון שקד,גרשון שקד,tertiary,2
עזה,עזה,tertiary,2
עין כרם,עין כרם,primary,
עין כרם,עין כרם,primary,
הזיכרון,הזיכרון,primary,2
הרצל,הרצל,tertiary,2
רוטשילד,רוטשילד,tertiary,
רוטשילד,רוטשילד,tertiary,
רוטשילד,רוטשילד,tertiary,
יריחו,יריחו,secondary,
שמואל בן-עדיה,שמואל בן-עדיה,tertiary,
בנימין מזר,בנימין מזר,tertiary,
בנימין מזר,בנימין מזר,tertiary,
חיים ברלב,חיים ברלב,trunk,2
קרית מדע,קרית מדע,tertiary,
גבעת שאול,גבעת שאול,tertiary,
הקצין יחיאל לנגר,הקצין יחיאל לנגר,tertiary,
זאב לב,זאב לב,tertiary,2
יוסף בן מתתיהו,מתתיהו,tertiary,
דוד ילין,דוד ילין,tertiary,
"רש""י","רש""י",tertiary,
ים סוף,ים סוף,tertiary,
כיכר נדב,כיכר נדב,tertiary,
כיכר עומר,כיכר עומר,tertiary,
עזרא,עזרא,tertiary,
עמוס,עמוס,tertiary,
עמוס,עמוס,tertiary,
בצלאל אשכנזי,בצלאל אשכנזי,tertiary,
דוד פרידמן,דוד פרידמן,tertiary,
כיכר רמז,כיכר רמז,tertiary,1
אסטורה,אסטורה,tertiary,
הרב וינוגרד,וינוגרד,tertiary,
חיל ההנדסה,חיל ההנדסה,tertiary,1
האלוף עוזי נרקיס,האלוף עוזי נרקיס,trunk,
האלוף עוזי נרקיס,האלוף עוזי נרקיס,trunk,
האלוף עוזי נרקיס,האלוף עוזי נרקיס,trunk,
האלוף עוזי נרקיס,האלוף עוזי נרקיס,trunk,
ראמאללה,ראמאללה,trunk,
חיל ההנדסה,חיל ההנדסה,trunk,2
הצנחנים,הצנחנים,trunk,1
שמעון הצדיק,שמעון הצדיק,tertiary,1
שדרות האוניברסיטה העברית,האוניברסיטה העברית,secondary,2
לוי אשכול,לוי אשכול,secondary,2
הסנונית,הסנונית,tertiary,
המרגלית,המרגלית,tertiary,2
המרגלית,המרגלית,tertiary,1
המרגלית,המרגלית,tertiary,
לשם,לשם,tertiary,2
המרגלית,המרגלית,tertiary,
אונטרמן,אונטרמן,tertiary,
השיש,השיש,tertiary,
אונטרמן,אונטרמן,tertiary,
אחלמה,אחלמה,tertiary,
אחלמה,אחלמה,tertiary,
אחלמה,אחלמה,tertiary,
יעקב פת,יעקב פת,secondary,2
דוד בנבנישתי,דוד בנבנישתי,secondary,3
שבתאי הנגבי,שבתאי הנגבי,tertiary,
סולטן סולימאן,סולטן סולימאן,tertiary,1
דרך בית לחם הישנה,דרך בית לחם הישנה,tertiary,
גולדה מאיר,גולדה מאיר,primary,2
גולדה מאיר,גולדה מאיר,primary,3
דרך יריחו,דרך יריחו,secondary,
הנשיא השישי,הנשיא השישי,tertiary,2
מפעלות,מפעלות,tertiary,
עטרות,עטרות,tertiary,2
ראמאללה,ראמאללה,trunk,1
מרתין לותר קינג,מרתין לותר קינג,tertiary,
יצחק רבין,יצחק רבין,secondary,3
יצחק רבין,יצחק רבין,secondary,3
יצחק רבין,יצחק רבין,secondary,5
יצחק קריב,יצחק קריב,tertiary,
מאיר ומיכאל סגן כהן,מאיר ומיכאל סגן כהן,tertiary,
שופן,שופן,tertiary,1
א-נבי יונס,א-נבי יונס,tertiary,2
עמיחי פאגלין,עמיחי פאגלין,secondary,2
יפו,יפו,tertiary,1
מאיר גרשון,מאיר גרשון,tertiary,
מאיר גרשון,מאיר גרשון,tertiary,
מאיר גרשון,מאיר גרשון,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
משה דיין,משה דיין,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,
רבינוביץ',אהרן רבינוביץ',tertiary,
מוזס,מוזס זגפריד,tertiary,
בטן אל הווא,בטן אל הווא,tertiary,
קהילת יעקב,קהילת יעקב,tertiary,
מאיר חדש,מאיר חדש,tertiary,
הרב ז'ולטי,הרב בצלאל ז'ולטי,tertiary,
חזון איש,חזון איש,tertiary,
שועפט,שועפט,tertiary,
אריה ורשבסקי,אריה ורשבסקי,tertiary,
חיים מרינוב,חיים מרינוב,tertiary,
אליהו קורן,אליהו קורן,tertiary,
הבבא סאלי,הבבא סאלי,tertiary,
משה ברעם,משה ברעם,secondary,2
דוד רזיאל,דוד רזיאל,tertiary,
דוד רזיאל,דוד רזיאל,tertiary,
דוד רזיאל,דוד רזיאל,tertiary,
מאיר פינשטיין,מאיר פינשטיין,tertiary,1
מאיר פינשטיין,מאיר פינשטיין,tertiary,1
דוד רזיאל,דוד רזיאל,tertiary,2
"על""ר","על""ר",tertiary,
"על""ר","על""ר",tertiary,
"על""ר","על""ר",tertiary,
מסעדה,מסעדה,tertiary,2
אל-משאהד,אל-משאהד,tertiary,2
אבו ד'ר אל-ע'פארי,אבו ד'ר אל-ע'פארי,tertiary,2
אל-סביל,אל-סביל,tertiary,2
"על""ר","על""ר",tertiary,
"על""ר","על""ר",tertiary,
שאולזון הרב,שאולזון הרב,tertiary,2
רוזנטל הרב דוד,רוזנטל הרב דוד,tertiary,
אבא הלל סילבר,אבא הלל סילבר,tertiary,2
צבי לצדיק,צבי לצדיק,tertiary,
הרב עוזיאל,הרב עוזיאל,tertiary,1
משה זילברג,משה זילברג,tertiary,
תורה ועבודה,תורה ועבודה,tertiary,
חברון,חברון,trunk,1
"הפלמ""ח","הפלמ""ח",tertiary,
טשרניחובסקי,טשרניחובסקי,tertiary,2
"הפלמ""ח","הפלמ""ח",tertiary,2
כובשי קטמון,כובשי קטמון,tertiary,1
דוד רמז,דוד רמז,tertiary,1
אגרון,אגרון,tertiary,2
מסריק,מסריק,tertiary,
רבן יוחנן בן זכאי,רבן יוחנן בן זכאי,tertiary,2
אלעזר המודעי,אלעזר המודעי,tertiary,2
חזקיהו המלך,חזקיהו המלך,tertiary,2
מנחם בגין,מנחם בגין,motorway,3
מעלה השלום,מעלה השלום,tertiary,
אליהו לנקין,אליהו לנקין,tertiary,
אבו תור,אבו תור,tertiary,
צור באהר,צור באהר,tertiary,
הנשיא השישי,הנשיא השישי,tertiary,3
דרך כרמית,דרך כרמית,tertiary,1
זלמן שניאור,זלמן שניאור,tertiary,
נמל התעופה,נמל התעופה,tertiary,2
שדרות ויצמן,שדרות ויצמן,primary,3
אגרון,אגרון,tertiary,4
דוד המלך,דוד המלך,tertiary,2
קרן היסוד,קרן היסוד,tertiary,1
קרן היסוד,קרן היסוד,tertiary,2
שדרות שמואל מאיר,שדרות שמואל מאיר,secondary,2
הרב אריה בינה,הרב אריה בינה,tertiary,
א-טאחונה,א-טאחונה,tertiary,1
א-תווחיד,א-תווחיד,tertiary,2
ההגנה,ההגנה,tertiary,
בנימין מזר,בנימין מזר,tertiary,
שכם,שכם,tertiary,
צאלח א-דין,צאלח א-דין,tertiary,
شارع عمر بن العاص,,tertiary,2
שכם,שכם,tertiary,
מעלות עיר דוד,מעלות עיר דוד,tertiary,
ואדי חילווה,ואדי חילווה,tertiary,
כביש המנהרות,כביש המנהרות,trunk,
סולימאן אל פארסי,סולימאן אל פארסי,tertiary,
יוסף בן מתתיהו,מתתיהו,tertiary,
ז'בוטינסקי,ז'בוטינסקי,tertiary,2
יצחק אלחנן,יצחק אלחנן,tertiary,
דוד המלך,דוד המלך,tertiary,2
דוד מרכוס,דוד מרכוס,tertiary,
יפו,יפו,trunk,2
"רמב""ן","רמב""ן",tertiary,
חיים הזז,חיים הזז,secondary,2
חיים הזז,חיים הזז,secondary,
הרב הרצוג,הרב הרצוג,tertiary,2
טשרניחובסקי,טשרניחובסקי,tertiary,
הרב הרצוג,הרב הרצוג,tertiary,2
"שדרות ש""י עגנון","שדרות ש""י עגנון",tertiary,1
הנביאים,הנביאים,tertiary,2
מנחם בגין,מנחם בגין,motorway,3
גולדה מאיר,גולדה מאיר,primary,2
מנחם בגין,מנחם בגין,motorway,3
דב יוסף,דב יוסף,secondary,2
יצחק רבין,יצחק רבין,secondary,2
יצחק רבין,יצחק רבין,secondary,2
יצחק רבין,יצחק רבין,secondary,3
יצחק רבין,יצחק רבין,secondary,2
בצלאל,בצלאל,secondary,2
יצחק רבין,יצחק רבין,secondary,2
דוד מרכוס,דוד מרכוס,tertiary,1
זלמן שניאור,זלמן שניאור,tertiary,2
יהודה בורלא,יהודה בורלא,tertiary,
יהודה בורלא,יהודה בורלא,tertiary,2
יהודה בורלא,יהודה בורלא,tertiary,
בית הדפוס,בית הדפוס,tertiary,
גבעת שאול,גבעת שאול,tertiary,
חברון,חברון,trunk,2
שדרות ויצמן,שדרות ויצמן,primary,3
"הפלמ""ח","הפלמ""ח",tertiary,2
חזקיהו המלך,חזקיהו המלך,tertiary,
הרכבת,הרכבת,tertiary,1
הרכבת,הרכבת,tertiary,1
עמק רפאים,עמק רפאים,tertiary,1
יוחנן בן זכאי,רבן יוחנן בן זכאי,tertiary,
יוחנן בן זכאי,רבן יוחנן בן זכאי,tertiary,
רופין,רופין,tertiary,
יצחק רבין,יצחק רבין,secondary,3
ככר יהודה בראשי,ככר יהודה בראשי,tertiary,
דניאל ינובסקי,דניאל ינובסקי,tertiary,
דניאל ינובסקי,דניאל ינובסקי,tertiary,
חברון,חברון,trunk,2
דרך חברון,דרך חברון,trunk,3
הרצל,הרצל,primary,3
גולדה מאיר,גולדה מאיר,primary,3
גולדה מאיר,גולדה מאיר,primary,4
דרוק הרב,דרוק הרב,tertiary,
יהודה הנשיא,יהודה הנשיא,tertiary,2
"שדרות ש""י עגנון","שדרות ש""י עגנון",tertiary,1
יוחנן בן זכאי,רבן יוחנן בן זכאי,tertiary,1
יוחנן בן זכאי,רבן יוחנן בן זכאי,tertiary,
יוחנן בן זכאי,רבן יוחנן בן זכאי,tertiary,1
יוחנן בן זכאי,רבן יוחנן בן זכאי,tertiary,
רבן יוחנן בן זכאי,רבן יוחנן בן זכאי,tertiary,
גולומב,גולומב,secondary,2
מיכאל אבי יונה,מיכאל אבי יונה,tertiary,
דוד בנבנישתי,דוד בנבנישתי,secondary,3
דוד בנבנישתי,דוד בנבנישתי,secondary,3
דוד בנבנישתי,דוד בנבנישתי,secondary,3
משה ברעם,משה ברעם,secondary,2
משה ברעם,משה ברעם,secondary,3
משה ברעם,משה ברעם,secondary,2
משה ברעם,משה ברעם,secondary,2
יוסי בן יועזר,יוסי בן יועזר,tertiary,
משה ברעם,משה ברעם,secondary,2
יוסי בן יועזר,יוסי בן יועזר,tertiary,
משה ברעם,משה ברעם,secondary,2
יוסי בן יועזר,יוסי בן יועזר,tertiary,
יוחנן בן זכאי,רבן יוחנן בן זכאי,tertiary,
יוחנן בן זכאי,רבן יוחנן בן זכאי,tertiary,
יעקב פת,יעקב פת,secondary,2
יעקב פת,יעקב פת,secondary,2
יעקב פת,יעקב פת,secondary,2
יעקב פת,יעקב פת,secondary,2
יהודה הנשיא,יהודה הנשיא,tertiary,2
דרך מעלה אדומים,דרך מעלה אדומים,trunk,2
משה ברעם,משה ברעם,secondary,2
אגרון,אגרון,tertiary,2
אגודת ספורט הפועל,אגודת ספורט הפועל,tertiary,2
אגודת ספורט מכבי,אגודת ספורט מכבי,tertiary,2
יצחק מודעי,יצחק מודעי,tertiary,1
יצחק מודעי,יצחק מודעי,tertiary,2
דרך גן החיות,דרך גן החיות,secondary,2
חיים קוליץ,חיים קוליץ,secondary,2
חנוך אלבק,חנוך אלבק,tertiary,2
חנוך אלבק,חנוך אלבק,tertiary,1
חנוך אלבק,חנוך אלבק,tertiary,
חנוך אלבק,חנוך אלבק,tertiary,
חנוך אלבק,אלבק,tertiary,1
"בית""ר","בית""ר",tertiary,
"בית""ר","בית""ר",tertiary,
האוניברסיטה העברית,האוניברסיטה העברית,secondary,1
האוניברסיטה העברית,האוניברסיטה העברית,secondary,1
לוי אשכול,לוי אשכול,secondary,2
האוניברסיטה העברית,האוניברסיטה העברית,secondary,2
שדרות גולדה מאיר,שדרות גולדה מאיר,primary,2
גולדה מאיר,גולדה מאיר,primary,3
הפסגה,הפיסגה,tertiary,
הפיסגה,הפיסגה,tertiary,1
הרצל,הרצל,primary,2
החלוץ,החלוץ,tertiary,
החלוץ,החלוץ,tertiary,1
פרבשטיין,פרבשטיין,primary,3
שדרות וולפסון,שדרות וולפסון,tertiary,2
שדרות וולפסון,שדרות וולפסון,tertiary,1
הצנחנים,הצנחנים,tertiary,2
הצנחנים,הצנחנים,tertiary,2
חיל ההנדסה,חיל ההנדסה,tertiary,1
הצנחנים,הצנחנים,trunk,2
הצנחנים,הצנחנים,trunk,1
חיים ברלב,חיים ברלב,trunk,2
הנביאים,הנביאים,tertiary,2
הנביאים,הנביאים,tertiary,1
פייר ואן פאסן,פייר ואן פאסן,tertiary,2
שלמה זלמן שרגאי,שלמה זלמן שרגאי,tertiary,2
ששת הימים,ששת הימים,tertiary,3
ששת הימים,ששת הימים,tertiary,3
שועפט,שועפט,tertiary,
שועפט,שועפט,tertiary,1
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
מאיר גרשון,מאיר גרשון,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,
משה דיין,משה דיין,tertiary,
דרך מעלה אדומים,דרך מעלה אדומים,trunk,2
שועפט,שועפט,tertiary,2
שועפט,שועפט,tertiary,5
גולדה מאיר,גולדה מאיר,primary,3
רבקה,רבקה,tertiary,
התנופה,התנופה,tertiary,2
התעשיה,התעשיה,tertiary,1
פייר קניג,פייר קניג,tertiary,2
פייר קניג,פייר קניג,tertiary,
"אגודת ספורט בית""ר","אגודת ספורט בית""ר",secondary,2
"אגודת ספורט בית""ר","אגודת ספורט בית""ר",secondary,2
"אגודת ספורט בית""ר","אגודת ספורט בית""ר",secondary,2
רופין,רופין,tertiary,2
שדרות וולפסון,שדרות וולפסון,tertiary,2
עבד אלחמיד שומאן,עבד אלחמיד שומאן,secondary,2
בצלאל בזק,בצלאל בזק,tertiary,2
עולי הגרדום,עולי הגרדום,tertiary,
עולי הגרדום,עולי הגרדום,tertiary,
רב החובל,רב החובל,tertiary,
רב החובל,רב החובל,tertiary,2
דוד רזיאל,דוד רזיאל,tertiary,
דוד רזיאל,דוד רזיאל,tertiary,
האומן,האומן,tertiary,2
הסדנא,הסדנא,tertiary,2
הסדנא,הסדנא,tertiary,
האומן,האומן,tertiary,
האומן,האומן,tertiary,
האומן,האומן,tertiary,
האומן,האומן,tertiary,1
הפרסה,הפרסה,tertiary,
הפרסה,הפרסה,tertiary,
הפרסה,הפרסה,tertiary,2
דוד רזיאל,דוד רזיאל,tertiary,
דוד רזיאל,דוד רזיאל,tertiary,
חווה ארציאלי,חווה ארציאלי,tertiary,2
חווה ארציאלי,חווה ארציאלי,tertiary,2
אבו רביע,אבו רביע,tertiary,
אבו רביע,אבו רביע,tertiary,
דרך גן החיות,דרך גן החיות,secondary,2
מירסקי יצחק,מירסקי,tertiary,
משה שרת,משה שרת,tertiary,1
גולומב,גולומב,secondary,2
משה שרת,משה שרת,tertiary,1
זרח ורהפטיג,זרח ורהפטיג,tertiary,
אריה דולצ'ין,אריה דולצ'ין,tertiary,1
יהודה בורלא,יהודה בורלא,tertiary,1
יהודה בורלא,יהודה בורלא,tertiary,
יהודה בורלא,יהודה בורלא,tertiary,
שמואל וייז,שמואל וייז,tertiary,2
שמואל וייז,שמואל וייז,tertiary,
שמואל וייז,שמואל וייז,tertiary,2
המוזיאונים,המוזיאונים,tertiary,
בלפור,בלפור,tertiary,1
המוזיאונים,המוזיאונים,tertiary,2
בלפור,בלפור,tertiary,1
גרשון שקד,גרשון שקד,tertiary,
גרשון שקד,גרשון שקד,tertiary,
בלפור,בלפור,tertiary,1
קפלן,קפלן,tertiary,
רוטשילד,רוטשילד,tertiary,
ירמיהו,ירמיהו,tertiary,3
שדרות ויצמן,שדרות ויצמן,primary,4
עקיבא אזולאי,עקיבא אזולאי,tertiary,2
דוד המלך,דוד המלך,tertiary,2
דוד המלך,דוד המלך,tertiary,2
"האדמו""רים ליינער","האדמו""רים ליינער",tertiary,
"האדמו""רים ליינער","האדמו""רים ליינער",tertiary,
עלי הכהן,עלי הכהן,tertiary,
גבעת משה,גבעת משה,tertiary,2
גבעת משה,גבעת משה,tertiary,
יעקובזון,יעקובזון,tertiary,2
שמואל הנביא,שמואל הנביא,tertiary,1
אהרון קציר,אהרון קציר,tertiary,2
יצחק הנדיב,יצחק הנדיב,secondary,2
לוי אשכול,לוי אשכול,tertiary,
בצלאל בזק,בצלאל בזק,trunk,3
טשרניחובסקי,טשרניחובסקי,tertiary,
בני בתירא,בני בתירא,tertiary,1
شارع السلطان سليمان,סולטן סולימאן,tertiary,1
הרב שמואל ברוך,הרב שמואל ברוך,tertiary,1
בית הדפוס,בית הדפוס,tertiary,1
שמואל בן-עדיה,שמואל בן-עדיה,tertiary,
"המ""ג","המ""ג",tertiary,
פנים מאירות,פנים מאירות,tertiary,
"המ""ג","המ""ג",tertiary,
עמק רפאים,עמק רפאים,tertiary,1
רופין,רופין,tertiary,2
המוזיאונים,המוזיאונים,tertiary,2
שמואל וייז,שמואל וייז,tertiary,2
עין כרם,עין כרם,primary,1
ההגנה,ההגנה,tertiary,
ההגנה,ההגנה,tertiary,
לוחמי הגטאות,לוחמי הגטאות,tertiary,
לוחמי הגטאות,לוחמי הגטאות,tertiary,
ואדי אל-ג'וז,ואדי אל-ג'וז,secondary,
מנהרת נעמי שמר / מנהרת הר הצופים,מנהרת נעמי שמר / מנהרת הר הצופים,secondary,
דרך מנהרת הר הצופים,דרך מנהרת הר הצופים,secondary,
שדרות צ'רצ'יל,שדרות צ'רצ'יל,tertiary,
ששת הימים,ששת הימים,tertiary,1
ששת הימים,ששת הימים,tertiary,
ששת הימים,ששת הימים,tertiary,
קוסטה ריקה,קוסטה ריקה,tertiary,2
הכלנית,הכלנית,tertiary,
אגודת ספורט הפועל,אגודת ספורט הפועל,tertiary,3
אגודת ספורט הפועל,אגודת ספורט הפועל,tertiary,3
אגודת ספורט הפועל,אגודת ספורט הפועל,tertiary,3
אגודת ספורט הפועל,אגודת ספורט הפועל,tertiary,3
תורה ועבודה,תורה ועבודה,tertiary,
זנגוויל,זנגוויל,tertiary,
זנגוויל,זנגוויל,tertiary,
תורה ועבודה,תורה ועבודה,tertiary,
טהון,טהון,secondary,2
עין כרם,עין כרם,primary,2
גבעת משה,גבעת משה,tertiary,
גבעת משה,גבעת משה,tertiary,
מלכי ישראל,מלכי ישראל,tertiary,2
ישעיהו,ישעיהו,tertiary,1
המלך ג׳ורג׳,המלך ג׳ורג׳,tertiary,2
אבינועם ילין,אבינועם ילין,tertiary,
שמואל הנביא,שמואל הנביא,tertiary,
שמעון הצדיק,שמעון הצדיק,tertiary,
שמעון הצדיק,שמעון הצדיק,tertiary,3
דוד המלך,דוד המלך,tertiary,1
המור,המור,tertiary,
הרצל,הרצל,primary,2
בית לחם,בית לחם,tertiary,2
